TimeStamp,Object,Operation,Id,Success,Created,Description,,Operation result,Created ID,Date Time
2017-08-25 14:32:15,Certificate__c,Upsert,a0q1O000008EQlRQAW,YES,YES,,,,,
2017-08-25 14:32:15,Certificate__c,Upsert,,NO,YES,No Equipment Record for Certificate,,,,
2017-08-25 14:33:58,Certificate__c,Upsert,a0q1O000008EQlbQAG,YES,YES,,,,,
2017-08-25 14:33:58,Certificate__c,Upsert,,NO,YES,No Equipment Record for Certificate,,,,
2017-08-25 14:34:01,Result__c,Upsert,,NO,YES,This is a certificate record.,,,,
2017-08-25 14:34:01,Result__c,Upsert,a0r1O00000CRLXCQA5,YES,YES,,,,,
2017-08-25 14:38:31,Certificate__c,Upsert,a0q1O000008EQlbQAG,YES,NO,,,,,
2017-08-25 14:38:31,Certificate__c,Upsert,,NO,YES,No Equipment Record for Certificate,,,,
2017-08-25 14:38:33,Result__c,Upsert,,NO,YES,This is a certificate record.,,,,
2017-08-25 14:38:33,Result__c,Upsert,a0r1O00000CRLXCQA5,YES,NO,,,,,
2017-08-25 15:30:51,Certificate__c,Upsert,a0q1O000008EQlbQAG,YES,NO,,,,,
2017-08-25 15:30:51,Certificate__c,Upsert,,NO,YES,No Equipment Record for Certificate,,,,
2017-08-25 15:30:53,Result__c,Upsert,,NO,YES,This is a certificate record.,,,,
2017-08-25 15:30:53,Result__c,Upsert,a0r1O00000CRLXCQA5,YES,NO,,,,,
